record_id,text,platform,source_url,user,date,rating,model_score,model_decision,seed_label,annotator_a_label,annotator_a_notes,annotator_b_label,annotator_b_notes,adjudicated_label,adjudication_notes,label_status
r0000001,Best price for 【LIMITED OFFER】 Euroken Euro65-3+1E-E 60l Home Improvement Free Standing Cooker 3 Gas +1 Hotplate Kitchen Appliance With Electric Oven - 60x65cm Color-Black 1000100017,kilimall,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,Anonymous,,,,,0,,,,,,,pending
r0000002,"Best price for (FREE MOUSE) LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12&quot; INCH , INSTALLED WINDOWS 11 PRO yoga 11e Color-Black 2855837",kilimall,https://www.kilimall.co.ke/listing/2855837-Lenovo-Yoga-11e-2in1-Laptop,Anonymous,,,,,0,,,,,,,pending
r0000003,"Perfect kettle 10/10!!! guaranteed satisfaction, amazing, and super fast delivery!!!",synthetic,,synthetic_generator,,,,,1,,,,,,,pending
r0000004,"Best price for LIMITED TIME DEAL!! CORN MEGA 100 MAX 6.67&quot;HD 64GB ROM, 5(2+3)GB RAM 5000mAh DUAL SIM CARD SMART PHONE SIDE FINGERPRINT FACE UNLOCK, 3G NETWORK13MP ULTRA CAMERA 8MP SELFIE-SMARTPHONE+FREEGIFT Color-Black Storage-5(2+3)GB+64GB 1001744385",kilimall,https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,Anonymous,,,,,0,,,,,,,pending
r0000005,Unbeatable blender! shop now! flawless! Five stars!!!,synthetic,,synthetic_generator,,,,,1,,,,,,,pending
r0000006,AMAZING shoe!!! life changing and superb! Buy now and thank me later!!!,synthetic,,synthetic_generator,,,,,1,,,,,,,pending
r0000007,Best price for Brand New Samsung Galaxy A05S 128GB+4GB 50MP Triple Camera Snapdragon 680 6.7&quot; 90Hz Display Android 13 5000mAh 25W Type-C Charge Smart Phones phone Color-Black Storage-128GB+4GB 3056589,kilimall,https://www.kilimall.co.ke/listing/3056589-Samsung-Galaxy-A05S-128GB-Smartphone,Anonymous,,,,,0,,,,,,,pending
r0000008,nice sound quality. They are great!,jumia,https://www.jumia.co.ke/oraimo-spacebuds-neo-true-wireless-spatial-earbuds-sound360-audio-black-316885068.html,Leonard,16-02-2026,5 out of 5,,,0,,,,,,,pending
r0000009,AMAZING fridge!!! unbeatable and superior! Buy now and thank me later!!!,synthetic,,synthetic_generator,,,,,1,,,,,,,pending
r0000010,Iron Box + Water Dispenser Pump,kilimall,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,Anonymous,,,,,0,,,,,,,pending
