text,label,platform,source_url,user,date,rating,label_source
Best price for 【LIMITED OFFER】 Euroken Euro65-3+1E-E 60l Home Improvement Free Standing Cooker 3 Gas +1 Hotplate Kitchen Appliance With Electric Oven - 60x65cm Color-Black 1000100017,0,kilimall,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,Anonymous,,,marketplace_real
"Best price for (FREE MOUSE) LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12&quot; INCH , INSTALLED WINDOWS 11 PRO yoga 11e Color-Black 2855837",0,kilimall,https://www.kilimall.co.ke/listing/2855837-Lenovo-Yoga-11e-2in1-Laptop,Anonymous,,,marketplace_real
"Perfect kettle 10/10!!! guaranteed satisfaction, amazing, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,marketplace_real
"Best price for LIMITED TIME DEAL!! CORN MEGA 100 MAX 6.67&quot;HD 64GB ROM, 5(2+3)GB RAM 5000mAh DUAL SIM CARD SMART PHONE SIDE FINGERPRINT FACE UNLOCK, 3G NETWORK13MP ULTRA CAMERA 8MP SELFIE-SMARTPHONE+FREEGIFT Color-Black Storage-5(2+3)GB+64GB 1001744385",0,kilimall,https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,Anonymous,,,marketplace_real
Unbeatable blender! shop now! flawless! Five stars!!!,1,synthetic,,synthetic_generator,,,marketplace_real
AMAZING shoe!!! life changing and superb! Buy now and thank me later!!!,1,synthetic,,synthetic_generator,,,marketplace_real
Best price for Brand New Samsung Galaxy A05S 128GB+4GB 50MP Triple Camera Snapdragon 680 6.7&quot; 90Hz Display Android 13 5000mAh 25W Type-C Charge Smart Phones phone Color-Black Storage-128GB+4GB 3056589,0,kilimall,https://www.kilimall.co.ke/listing/3056589-Samsung-Galaxy-A05S-128GB-Smartphone,Anonymous,,,marketplace_real
nice sound quality. They are great!,0,jumia,https://www.jumia.co.ke/oraimo-spacebuds-neo-true-wireless-spatial-earbuds-sound360-audio-black-316885068.html,Leonard,16-02-2026,5 out of 5,marketplace_real
AMAZING fridge!!! unbeatable and superior! Buy now and thank me later!!!,1,synthetic,,synthetic_generator,,,marketplace_real
Iron Box + Water Dispenser Pump,0,kilimall,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,Anonymous,,,marketplace_real
"Perfect shoe 10/10!!! official, ideal gift, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,marketplace_real
"🔥Top-Rated💎AILYONS Self-Service High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Water Hand Pump Dispenser",0,kilimall,https://www.kilimall.co.ke/listing/1001482700-TopRatedAILYONS-SelfService-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Water-Hand-Pump-Dispenser,Anonymous,,,marketplace_real
"Best price for Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone Color-black Storage-64GB ROM + 5(2+3Extended)GB RAM 1001200040",0,kilimall,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,Anonymous,,,marketplace_real
Best price for Havit HF610 Small home appliances-Handheld high speed fan Color-Black 1001803647,0,kilimall,https://www.kilimall.co.ke/listing/1001803647-Havit-HF610-Small-home-appliancesHandheld-high-speed-fan,Anonymous,,,marketplace_real
Specification contrary from the Product itself.. I purchased this phone after carefully going through the specifications said in the description only to find out that all that was described is not there. 1 No fingerprint. 2 No Dual Camera Single Camera 5mega pixel,0,jumia,https://www.jumia.co.ke/renewed-samsung-galaxy-a20-android-smartphone-white-32gb3gbsingle-sim-refurbished-by-badili.-306464315.html,Elijah Kibet,02-05-2025,3 out of 5,marketplace_real
Best price for 【LIMITED OFFER】 Eurochef EGT55-3G1E-E 55L Home Improvement Free standing Gas Cooker 3 GAS + 1 Hot Plate Kitchen appliance with electric oven Color-Silver 2488867,0,kilimall,https://www.kilimall.co.ke/listing/2488867-Eurochef-55L-Gas-Cooker-3G1H,Anonymous,,,marketplace_real
I like it ????. Best battery ????,0,jumia,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-grey-297282731.html,Stephen,02-02-2026,5 out of 5,marketplace_real
Best price for 60 litres ecomax deep freezerThe Ecomax energy-saving chest freezer is a small-sized home appliance that is perfect for storing all your frozen foods. The freezer has a capacity of 60 liters and hence Color-Silver 1001724804,0,kilimall,https://www.kilimall.co.ke/listing/1001724804-60-litres-ecomax-deep-freezerThe-Ecomax-energysaving-chest-freezer-is-a-smallsized-home-appliance-that-is-perfect-for-storing-all-your-frozen-foods-The-freezer-has-a-capacity-of-60-liters-and-hence,Anonymous,,,marketplace_real
I love it. It holds phone well and looks beautiful,0,jumia,https://www.jumia.co.ke/desktop-smartphone-holder-foldable-phone-stand-black-generic-mpg416630.html,mark,02-03-2026,5 out of 5,marketplace_real
Unbeatable watch! durable! genuine! Five stars!!!,1,synthetic,,synthetic_generator,,,marketplace_real
Artel ECOMAX SONAR RAMTONS TAGWOOD ElectroMate,0,kilimall,https://www.kilimall.co.ke/listing/1001008317-Samsung-Galaxy-A16-128GB-Smartphone,Anonymous,,,marketplace_real
[Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone,0,kilimall,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,Anonymous,,,marketplace_real
"Best speaker ever, get yours. highly recommend. Don't miss this deal!!!",1,synthetic,,synthetic_generator,,,marketplace_real
The phone was amazing with the gifts. The items I ordered was even better to what actually came,0,jumia,https://www.jumia.co.ke/tecno-spark-40-6.67-hd-8gb-ram-128gb-dual-sim-5200mah-grey-free-led-watchearpodspowerbank-323701040.html,Rael,04-03-2026,5 out of 5,marketplace_real
Best price for itel P55 24(8+16)GB RAM + 128GB 6.6&quot; 90Hz Display Game Phones Dual SIM 4G Network 50MP Camera 18W Fast Charging 5000mAh Battery Fingerprint And Face Unlock Smart Phones Color-Aurora Blue Storage-128GB+24(8+16)GB 1000418514,0,kilimall,https://www.kilimall.co.ke/listing/1000418514-itel-P55-24-816GB-128GB-66-90Hz-Smartphone,Anonymous,,,marketplace_real
"I like it. The connectivity to network good, delivery to where I was was fast and checked the phone description during advertising same no foul plays. Thanks",0,jumia,https://www.jumia.co.ke/redmi-15c-byxiaomi-6.9-4gb-ram-128gb-dual-sim-6000mah-black-25-months-warranty-325490535.html,Gladwell,05-03-2026,4 out of 5,marketplace_real
[Tech Week] New Arrival Samsung Galaxy A07 128GB+4GB MTK Helio G99 6.7&quot; 90Hz 50MP Dual Camera 5000mAh 25W Type-C Charge Android 15 Smart Phones IP54 Waterproof Side Fingerprint phone,0,kilimall,https://www.kilimall.co.ke/listing/1001434746-Samsung-Galaxy-A07-128GB-Smartphone,Anonymous,,,marketplace_real
Unbeatable kettle! deluxe! unique! Five stars!!!,1,synthetic,,synthetic_generator,,,marketplace_real
[NEW ARRIVALS!!!]Itel A90 128GB+12(4+8)GB RAM 6.6“ 90HZ Display Phone Dual SIM 4G Network 13MP Camera Fingerprint Unlock 15W 5000 mAh Battery Android 14 Octa-core Smart Phones,0,kilimall,https://www.kilimall.co.ke/listing/1001764100-NEW-ARRIVALSItel-A90-128GB1248GB-RAM-66-90HZ-Display-Phone-Dual-SIM-4G-Network-13MP-Camera-Fingerprint-Unlock-15W-5000-mAh-Battery-Android-14-Octacore-Smart-Phones,Anonymous,,,marketplace_real
I do don't like it. The charger is not working,0,jumia,https://www.jumia.co.ke/villaon-v120-1.77-1000mah-triple-sim-feature-phone-black-326369869.html,Joseph,05-03-2026,1 out of 5,marketplace_real
"LIMITED TIME DEALS!!!! BRAND NEW CORN C16 PRO MAX 6.6&quot; STORAGE ROM 64GB RAM 5GB STRONG BATTERY 5000 mAh DOUBLE SIM CARD SMART PHONE ON OFFER FINGERPRINT FACE UNLOCK,8MP SEILFE 13MP TYPE-C",0,kilimall,https://www.kilimall.co.ke/listing/1001582765-CALUS-C16-PRO-MAX-64GB-Smartphone,Anonymous,,,marketplace_real
"Perfect phone 10/10!!! flawless, powerful, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,marketplace_real
[Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 128GB ROM + 8(4+4)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone,0,kilimall,https://www.kilimall.co.ke/listing/1000192744-realme-Note-50-90Hz-Smartphone,Anonymous,,,marketplace_real
"Good. Battery is giving me like 3 to 4 days, and also easier to use",0,jumia,https://www.jumia.co.ke/villaon-v110-1.77-1000mah-dual-sim-black-326370555.html,David,04-03-2026,5 out of 5,marketplace_real
"Ships from Zimmerman , select an address to view delivery times.",0,kilimall,https://www.kilimall.co.ke/listing/1001801207-Fridge-TV-Guard13-Amps-Amp-Power-Protection-for-TVs-Refrigerators-and-Home-Appliances,Anonymous,,,marketplace_real
"Rating high. The product is perfect. Deep base,clear sound and can keep charge for along time in use. I recommend potential buyers",0,jumia,https://www.jumia.co.ke/tws-budsair-5-i-deep-bass-with-13.22mm-large-driver-lightweight-half-in-ear-design-32-hours-playtime-ai-translations-iew-50-black-itel-mpg9977072.html,David,22-01-2026,5 out of 5,marketplace_real
Best price for Ailyons 16-inch wall fan.,0,kilimall,https://www.kilimall.co.ke/listing/1001646722-Ailyons-16inch-Wall-Fan,Anonymous,,,marketplace_real
AMAZING bag!!! highly recommend and click now! Buy now and thank me later!!!,1,synthetic,,synthetic_generator,,,marketplace_real
"Brand New Chuwi Laptop Corebook i3 10th ultrabook: (kama i7 7th), 8GB+256GB SSD, 14&quot; Full HD Ultrabook with Long Battery Life &amp; Win 11 system WiFi6 Bluetooth 5.2",0,kilimall,https://www.kilimall.co.ke/listing/1001567710-CHUWI-Corebook-i3-10th-14-FHD-Laptop,Anonymous,,,marketplace_real
"Perfect speaker 10/10!!! durable, limited stock, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,marketplace_real
"Meets expectation. Though it overheats, maybe you can improve on their OS",0,jumia,https://www.jumia.co.ke/c1-tabletdual-sim8-inch-633gb-ram-64gb-rom-android14-4000mah-batterygray-redbeat-mpg8920967.html,Daglas,02-03-2026,4 out of 5,marketplace_real
"size, volume &amp; clarity of voice. Easy to carry around (not too big) has a big volume &amp; bass tone makes the music sound just amazing ????",0,jumia,https://www.jumia.co.ke/oraimo-spacebox-wireless-bluetooth-speaker-portable-8w-fm-grey-317633439.html,Caroline,04-03-2026,5 out of 5,marketplace_real
"Perfect watch 10/10!!! best buy, perfect, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,marketplace_real
"Best price for AILYONS Electric Kettle + Free 4-Way Extension Cable – Coil-Less Water Heater &amp; Boiler Jug, Fast Boil, Stainless Steel, Durable &amp; Convenient Home Appliance Set Color-Silver 1001537186",0,kilimall,https://www.kilimall.co.ke/listing/1001537186-AILYONS-Electric-Kettle-Stainless-Steel,Anonymous,,,marketplace_real
Best price for Refurbished Apple MacBook Pro 13&quot; Core i5 2.4GHz 8GB RAM 500GB HDD (Mid 2012) MacOS Laptop Silver + Bag Color-Silver 1001258085,0,kilimall,https://www.kilimall.co.ke/listing/1001258085-Refurbished-Apple-MacBook-Pro-13-Core-i5-24GHz-8GB-RAM-500GB-HDD-Mid-2012-MacOS-Laptop-Silver-Bag,Anonymous,,,marketplace_real
⭐ MEGA OFFER ⭐ – 1 PC Smartpro 180L Chest Freezer Deep Freezer Energy Saving Durable Home Appliance,0,kilimall,https://www.kilimall.co.ke/listing/1001811009-MEGA-OFFER-1-PC-Smartpro-180L-Chest-Freezer-Deep-Freezer-Energy-Saving-Durable-Home-Appliance,Anonymous,,,marketplace_real
"Best fridge ever, no risk. best buy. Don't miss this deal!!!",1,synthetic,,synthetic_generator,,,marketplace_real
Best price for [Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone Color-Sky Blue Storage-64GB + 6(3+3)GB 1000192714,0,kilimall,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,Anonymous,,,marketplace_real
This fridge changed my life!!! 100% recommend. buy now. Order today!!!,1,synthetic,,synthetic_generator,,,marketplace_real
perfect. The colours are good and everything so far is amazing ????,0,jumia,https://www.jumia.co.ke/tv-32-inches-qled-smart-tv-frameless-bluetooth-android14-wifi-digital-netflix-youtube-prime-32-television-1-year-warranty-new-launch-price-wall-mount-free-gift-itel-mpg9993922.html,Subira,02-03-2026,4 out of 5,marketplace_real
How to apply aftersale/ Refund,0,kilimall,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,Anonymous,,,marketplace_real
"Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone",0,kilimall,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,Anonymous,,,marketplace_real
Best price for [Tech Week] Brand New Samsung Galaxy A06 64GB+4GB 50MP Camera 6.7&quot; 90Hz MTK Helio G85 (12nm) 5000mAh 25W Type-C Charge Android 14 Smart Phones phone Color-Black Storage-64GB+4GB 3054740,0,kilimall,https://www.kilimall.co.ke/listing/3054740-Samsung-Galaxy-A05-64GB-50MP-Camera,Anonymous,,,marketplace_real
"AILYONS High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Dining Table Water Hand Pump Dispenser.1000W",0,kilimall,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,Anonymous,,,marketplace_real
"Lovely!. A good wearable device, beautiful look. Battery lasts long. Product has nice features and functions well. Great value!",0,jumia,https://www.jumia.co.ke/itel-smartwatch-edge-r1-pro-043-1.43-super-amoled-display-5-minute-charge-24-hour-usageip68-waterproof-308793532.html,Dan,12-11-2025,5 out of 5,marketplace_real
I like it. It's a nice product in love with it,0,jumia,https://www.jumia.co.ke/xiaomi-redmi-15-4g-6gb-ram-128gb-7000mah-grey-25-months-warranty.-325670447.html,Samuel,15-01-2026,4 out of 5,marketplace_real
OFFER OFFER!!!!! Refurbished HP Probook 840 i5+8GB+500GB 1-2GHz processor Windows 11 Bluetooth Refurbished Laptop Notebook Computer Laptops,0,kilimall,https://www.kilimall.co.ke/listing/1001696311-OFFER-OFFER-Refurbished-HP-Probook-840-i58GB500GB-12GHz-processor-Windows-11-Bluetooth-Refurbished-Laptop-Notebook-Computer-Laptops,Anonymous,,,marketplace_real
"LOW POWER STORAGE, BAD FOR CALLS. The neck band is okay but it doesn't store power for long. It can't get to used for more than an hour. It powers off and we have to charge for more than five times a day",0,jumia,https://www.jumia.co.ke/generic-g03-neckband-wireless-bluetooth-in-ear-sports-earphone-headset-169371598.html,Anonymous,,2 out of 5,marketplace_real
Unbeatable laptop! amazing! premium quality! Five stars!!!,1,synthetic,,synthetic_generator,,,marketplace_real
