text,label,platform,source_url,user,date,rating,label_source
Best price for 【LIMITED OFFER】 Euroken Euro65-3+1E-E 60l Home Improvement Free Standing Cooker 3 Gas +1 Hotplate Kitchen Appliance With Electric Oven - 60x65cm Color-Black 1000100017,0,kilimall,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,Anonymous,,,scraped_review
"Best price for (FREE MOUSE) LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12&quot; INCH , INSTALLED WINDOWS 11 PRO yoga 11e Color-Black 2855837",0,kilimall,https://www.kilimall.co.ke/listing/2855837-Lenovo-Yoga-11e-2in1-Laptop,Anonymous,,,scraped_review
"Perfect kettle 10/10!!! guaranteed satisfaction, amazing, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,template_fraud
"Best price for LIMITED TIME DEAL!! CORN MEGA 100 MAX 6.67&quot;HD 64GB ROM, 5(2+3)GB RAM 5000mAh DUAL SIM CARD SMART PHONE SIDE FINGERPRINT FACE UNLOCK, 3G NETWORK13MP ULTRA CAMERA 8MP SELFIE-SMARTPHONE+FREEGIFT Color-Black Storage-5(2+3)GB+64GB 1001744385",0,kilimall,https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,Anonymous,,,scraped_review
Unbeatable blender! shop now! flawless! Five stars!!!,1,synthetic,,synthetic_generator,,,template_fraud
AMAZING shoe!!! life changing and superb! Buy now and thank me later!!!,1,synthetic,,synthetic_generator,,,template_fraud
Best price for Brand New Samsung Galaxy A05S 128GB+4GB 50MP Triple Camera Snapdragon 680 6.7&quot; 90Hz Display Android 13 5000mAh 25W Type-C Charge Smart Phones phone Color-Black Storage-128GB+4GB 3056589,0,kilimall,https://www.kilimall.co.ke/listing/3056589-Samsung-Galaxy-A05S-128GB-Smartphone,Anonymous,,,scraped_review
nice sound quality. They are great!,0,jumia,https://www.jumia.co.ke/oraimo-spacebuds-neo-true-wireless-spatial-earbuds-sound360-audio-black-316885068.html,Leonard,16-02-2026,5 out of 5,scraped_review
AMAZING fridge!!! unbeatable and superior! Buy now and thank me later!!!,1,synthetic,,synthetic_generator,,,template_fraud
Iron Box + Water Dispenser Pump,0,kilimall,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,Anonymous,,,scraped_review
"Perfect shoe 10/10!!! official, ideal gift, and super fast delivery!!!",1,synthetic,,synthetic_generator,,,template_fraud
"🔥Top-Rated💎AILYONS Self-Service High Performance Home Appliance Energy Efficient Dry Iron Box, Ironbox + FREE GIFT Rechargeable Water Hand Pump Dispenser",0,kilimall,https://www.kilimall.co.ke/listing/1001482700-TopRatedAILYONS-SelfService-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Water-Hand-Pump-Dispenser,Anonymous,,,scraped_review
"Best price for Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone Color-black Storage-64GB ROM + 5(2+3Extended)GB RAM 1001200040",0,kilimall,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,Anonymous,,,scraped_review
Best price for Havit HF610 Small home appliances-Handheld high speed fan Color-Black 1001803647,0,kilimall,https://www.kilimall.co.ke/listing/1001803647-Havit-HF610-Small-home-appliancesHandheld-high-speed-fan,Anonymous,,,scraped_review
Specification contrary from the Product itself.. I purchased this phone after carefully going through the specifications said in the description only to find out that all that was described is not there. 1 No fingerprint. 2 No Dual Camera Single Camera 5mega pixel,0,jumia,https://www.jumia.co.ke/renewed-samsung-galaxy-a20-android-smartphone-white-32gb3gbsingle-sim-refurbished-by-badili.-306464315.html,Elijah Kibet,02-05-2025,3 out of 5,scraped_review
Best price for 【LIMITED OFFER】 Eurochef EGT55-3G1E-E 55L Home Improvement Free standing Gas Cooker 3 GAS + 1 Hot Plate Kitchen appliance with electric oven Color-Silver 2488867,0,kilimall,https://www.kilimall.co.ke/listing/2488867-Eurochef-55L-Gas-Cooker-3G1H,Anonymous,,,scraped_review
I like it ????. Best battery ????,0,jumia,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-grey-297282731.html,Stephen,02-02-2026,5 out of 5,scraped_review
Best price for 60 litres ecomax deep freezerThe Ecomax energy-saving chest freezer is a small-sized home appliance that is perfect for storing all your frozen foods. The freezer has a capacity of 60 liters and hence Color-Silver 1001724804,0,kilimall,https://www.kilimall.co.ke/listing/1001724804-60-litres-ecomax-deep-freezerThe-Ecomax-energysaving-chest-freezer-is-a-smallsized-home-appliance-that-is-perfect-for-storing-all-your-frozen-foods-The-freezer-has-a-capacity-of-60-liters-and-hence,Anonymous,,,scraped_review
I love it. It holds phone well and looks beautiful,0,jumia,https://www.jumia.co.ke/desktop-smartphone-holder-foldable-phone-stand-black-generic-mpg416630.html,mark,02-03-2026,5 out of 5,scraped_review
Unbeatable watch! durable! genuine! Five stars!!!,1,synthetic,,synthetic_generator,,,template_fraud
Artel ECOMAX SONAR RAMTONS TAGWOOD ElectroMate,0,kilimall,https://www.kilimall.co.ke/listing/1001008317-Samsung-Galaxy-A16-128GB-Smartphone,Anonymous,,,scraped_review
[Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone,0,kilimall,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,Anonymous,,,scraped_review
"Best speaker ever, get yours. highly recommend. Don't miss this deal!!!",1,synthetic,,synthetic_generator,,,template_fraud
