text_norm,group_key,split
best price for 【limited offer】 euroken euro65-3+1e-e 60l home improvement free standing cooker 3 gas +1 hotplate kitchen appliance with electric oven - 60x65cm color-black 1000100017,https://www.kilimall.co.ke/listing/1000100017-Euroken-Euro6531EE-Standing-Gas-Cooker,test
"best price for (free mouse) lenovo yoga 11e 4gb ram 128gb ssd 2 in 1 touchscreen x360 laptop refurbished laptop , black , 12&quot; inch , installed windows 11 pro yoga 11e color-black 2855837",https://www.kilimall.co.ke/listing/2855837-Lenovo-Yoga-11e-2in1-Laptop,train
"perfect kettle 10/10!!! guaranteed satisfaction, amazing, and super fast delivery!!!",amazing and delivery fast guaranteed kettle perfect satisfaction super,train
"best price for limited time deal!! corn mega 100 max 6.67&quot;hd 64gb rom, 5(2+3)gb ram 5000mah dual sim card smart phone side fingerprint face unlock, 3g network13mp ultra camera 8mp selfie-smartphone+freegift color-black storage-5(2+3)gb+64gb 1001744385",https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,train
unbeatable blender! shop now! flawless! five stars!!!,blender five flawless now shop stars unbeatable,train
amazing shoe!!! life changing and superb! buy now and thank me later!!!,amazing and buy changing later life now shoe superb thank,train
best price for brand new samsung galaxy a05s 128gb+4gb 50mp triple camera snapdragon 680 6.7&quot; 90hz display android 13 5000mah 25w type-c charge smart phones phone color-black storage-128gb+4gb 3056589,https://www.kilimall.co.ke/listing/3056589-Samsung-Galaxy-A05S-128GB-Smartphone,train
nice sound quality. they are great!,https://www.jumia.co.ke/oraimo-spacebuds-neo-true-wireless-spatial-earbuds-sound360-audio-black-316885068.html,train
amazing fridge!!! unbeatable and superior! buy now and thank me later!!!,amazing and buy fridge later now superior thank unbeatable,train
iron box + water dispenser pump,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,train
"perfect shoe 10/10!!! official, ideal gift, and super fast delivery!!!",and delivery fast gift ideal official perfect shoe super,train
"🔥top-rated💎ailyons self-service high performance home appliance energy efficient dry iron box, ironbox + free gift rechargeable water hand pump dispenser",https://www.kilimall.co.ke/listing/1001482700-TopRatedAILYONS-SelfService-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Water-Hand-Pump-Dispenser,val
