text,label,source_url,date,platform,user,rating,record_id
"Best price for (FREE MOUSE) LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12&quot; INCH , INSTALLED WINDOWS 11 PRO yoga 11e Color-Black 2855837",0,https://www.kilimall.co.ke/listing/2855837-Lenovo-Yoga-11e-2in1-Laptop,,kilimall,Anonymous,,r0000002
"Perfect kettle 10/10!!! guaranteed satisfaction, amazing, and super fast delivery!!!",1,,,synthetic,synthetic_generator,,r0000003
"Best price for LIMITED TIME DEAL!! CORN MEGA 100 MAX 6.67&quot;HD 64GB ROM, 5(2+3)GB RAM 5000mAh DUAL SIM CARD SMART PHONE SIDE FINGERPRINT FACE UNLOCK, 3G NETWORK13MP ULTRA CAMERA 8MP SELFIE-SMARTPHONE+FREEGIFT Color-Black Storage-5(2+3)GB+64GB 1001744385",0,https://www.kilimall.co.ke/listing/1001744385-LIMITED-TIME-DEAL-CORN-MEGA-100-MAX-667HD-64GB-ROM-523GB-RAM-5000mAh-DUAL-SIM-CARD-SMART-PHONE-SIDE-FINGERPRINT-FACE-UNLOCK-3G-NETWORK13MP-ULTRA-CAMERA-8MP-SELFIESMARTPHONEFREEGIFT,,kilimall,Anonymous,,r0000004
Unbeatable blender! shop now! flawless! Five stars!!!,1,,,synthetic,synthetic_generator,,r0000005
AMAZING shoe!!! life changing and superb! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000006
Best price for Brand New Samsung Galaxy A05S 128GB+4GB 50MP Triple Camera Snapdragon 680 6.7&quot; 90Hz Display Android 13 5000mAh 25W Type-C Charge Smart Phones phone Color-Black Storage-128GB+4GB 3056589,0,https://www.kilimall.co.ke/listing/3056589-Samsung-Galaxy-A05S-128GB-Smartphone,,kilimall,Anonymous,,r0000007
nice sound quality. They are great!,0,https://www.jumia.co.ke/oraimo-spacebuds-neo-true-wireless-spatial-earbuds-sound360-audio-black-316885068.html,16-02-2026,jumia,Leonard,5 out of 5,r0000008
AMAZING fridge!!! unbeatable and superior! Buy now and thank me later!!!,1,,,synthetic,synthetic_generator,,r0000009
Iron Box + Water Dispenser Pump,0,https://www.kilimall.co.ke/listing/1001415714-AILYONS-High-Performance-Home-Appliance-Energy-Efficient-Dry-Iron-Box-Ironbox-FREE-GIFT-Rechargeable-Dining-Table-Water-Hand-Pump-Dispenser1000WCompact-designNonstick-soleplateOverheating-prot,,kilimall,Anonymous,,r0000010
"Perfect shoe 10/10!!! official, ideal gift, and super fast delivery!!!",1,,,synthetic,synthetic_generator,,r0000011
"Best price for Corn C16 Pro Max 64GB Storage +5(2+3Extended ) RamUnlocked Cell Phone, Android 6.6&quot;HD +WATERDROP SCREEN 13MP Main Camera,8mp Front camera 5000mAh Dual SIM, Face ID, GPS, OTG Smart Phone Smartphone Color-black Storage-64GB ROM + 5(2+3Extended)GB RAM 1001200040",0,https://www.kilimall.co.ke/listing/1001200040-Corn-C16-Pro-Max-64GB-Storage-523Extended-RamUnlocked-Cell-Phone-Android-66HD-WATERDROP-SCREEN-13MP-Main-Camera8mp-Front-camera-5000mAh-Dual-SIM-Face-ID-GPS-OTG-Smart-Phone-Smartphone,,kilimall,Anonymous,,r0000013
Specification contrary from the Product itself.. I purchased this phone after carefully going through the specifications said in the description only to find out that all that was described is not there. 1 No fingerprint. 2 No Dual Camera Single Camera 5mega pixel,0,https://www.jumia.co.ke/renewed-samsung-galaxy-a20-android-smartphone-white-32gb3gbsingle-sim-refurbished-by-badili.-306464315.html,02-05-2025,jumia,Elijah Kibet,3 out of 5,r0000015
Best price for 【LIMITED OFFER】 Eurochef EGT55-3G1E-E 55L Home Improvement Free standing Gas Cooker 3 GAS + 1 Hot Plate Kitchen appliance with electric oven Color-Silver 2488867,0,https://www.kilimall.co.ke/listing/2488867-Eurochef-55L-Gas-Cooker-3G1H,,kilimall,Anonymous,,r0000016
I like it ????. Best battery ????,0,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-hd-4gb-ram-128gb-rom-dual-sim-50mp-5000mah-comes-with-free-gifts-airpods-smart-watch-powerbank-for-you-grey-297282731.html,02-02-2026,jumia,Stephen,5 out of 5,r0000017
Best price for 60 litres ecomax deep freezerThe Ecomax energy-saving chest freezer is a small-sized home appliance that is perfect for storing all your frozen foods. The freezer has a capacity of 60 liters and hence Color-Silver 1001724804,0,https://www.kilimall.co.ke/listing/1001724804-60-litres-ecomax-deep-freezerThe-Ecomax-energysaving-chest-freezer-is-a-smallsized-home-appliance-that-is-perfect-for-storing-all-your-frozen-foods-The-freezer-has-a-capacity-of-60-liters-and-hence,,kilimall,Anonymous,,r0000018
I love it. It holds phone well and looks beautiful,0,https://www.jumia.co.ke/desktop-smartphone-holder-foldable-phone-stand-black-generic-mpg416630.html,02-03-2026,jumia,mark,5 out of 5,r0000019
Unbeatable watch! durable! genuine! Five stars!!!,1,,,synthetic,synthetic_generator,,r0000020
Artel ECOMAX SONAR RAMTONS TAGWOOD ElectroMate,0,https://www.kilimall.co.ke/listing/1001008317-Samsung-Galaxy-A16-128GB-Smartphone,,kilimall,Anonymous,,r0000021
[Tech Week] Brand New Realme Note 50 90Hz 6.74&quot; 64GB ROM + 6(3+3)GB RAM 5000mAh 13MP Al Camera Unisoc Tiger T612 Type-C 3-Card Slot Smart Phones Side Fingerprint phone,0,https://www.kilimall.co.ke/listing/1000192714-realme-Note-50-90Hz-Smartphone,,kilimall,Anonymous,,r0000022
The phone was amazing with the gifts. The items I ordered was even better to what actually came,0,https://www.jumia.co.ke/tecno-spark-40-6.67-hd-8gb-ram-128gb-dual-sim-5200mah-grey-free-led-watchearpodspowerbank-323701040.html,04-03-2026,jumia,Rael,5 out of 5,r0000024
Best price for itel P55 24(8+16)GB RAM + 128GB 6.6&quot; 90Hz Display Game Phones Dual SIM 4G Network 50MP Camera 18W Fast Charging 5000mAh Battery Fingerprint And Face Unlock Smart Phones Color-Aurora Blue Storage-128GB+24(8+16)GB 1000418514,0,https://www.kilimall.co.ke/listing/1000418514-itel-P55-24-816GB-128GB-66-90Hz-Smartphone,,kilimall,Anonymous,,r0000025
